epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.175,1.04946,8.47728,0.26735,0.96578,1.28115,0.82282,0.76412,0.84473,0.52267,0.14982,0.10277,0.04447,0.0073,1.24823,7.08597,0.11842,0.99124,1.44068,0.000332715,0.000332715,0.0670612
2,461.17,1.08418,6.86525,0.24293,0.84462,1.28743,0.86817,0.81125,0.87984,0.59392,0.25651,0.18432,0.12514,0.02428,1.10267,6.33443,0.10719,0.85638,1.30175,0.000657806,0.000657806,0.034053
3,677.424,1.05096,6.29563,0.23627,0.78477,1.26354,0.90096,0.8315,0.88869,0.59351,0.28912,0.24006,0.15321,0.03191,1.08537,5.93075,0.11437,0.7962,1.27738,0.000974647,0.000974647,0.00103649
4,893.562,1.03512,5.98342,0.2373,0.76215,1.23928,0.90865,0.81954,0.9027,0.6295,0.39097,0.28346,0.22659,0.05397,1.04724,5.64093,0.10447,0.75701,1.23149,0.000962875,0.000962875,0.000962875
5,1109.65,0.96396,5.63459,0.2158,0.68211,1.19191,0.90994,0.86848,0.91219,0.65784,0.39815,0.34882,0.26577,0.0774,0.97707,5.32099,0.08915,0.70165,1.21912,0.0009505,0.0009505,0.0009505
6,1325.76,0.93782,5.41095,0.20568,0.65509,1.17332,0.92275,0.86923,0.92584,0.67285,0.45065,0.38194,0.29998,0.08515,0.97777,5.12818,0.08624,0.64512,1.18323,0.000938125,0.000938125,0.000938125
7,1541.95,0.90896,5.20976,0.20699,0.62159,1.15426,0.90834,0.87703,0.92648,0.68017,0.47878,0.40499,0.29507,0.07918,0.94954,5.00571,0.08216,0.63528,1.18233,0.00092575,0.00092575,0.00092575
8,1757.94,0.8786,5.07614,0.20284,0.58764,1.12877,0.94935,0.8878,0.93953,0.69312,0.47947,0.41002,0.30787,0.08317,0.91523,4.97686,0.0811,0.58717,1.15307,0.000913375,0.000913375,0.000913375
9,1974.26,0.85231,4.90119,0.19378,0.56555,1.11521,0.91579,0.89918,0.93732,0.69437,0.52065,0.46345,0.3536,0.09538,0.90163,4.7523,0.07774,0.58243,1.13492,0.000901,0.000901,0.000901
10,2190.51,0.83566,4.75826,0.18379,0.55187,1.09845,0.91407,0.89832,0.94044,0.70225,0.57679,0.49114,0.38398,0.1106,0.89316,4.55921,0.0766,0.57116,1.12372,0.000888625,0.000888625,0.000888625
11,2406.51,0.81859,4.63956,0.17453,0.53061,1.09455,0.94235,0.87236,0.93738,0.70553,0.56118,0.50154,0.38343,0.1126,0.87616,4.59082,0.07251,0.57074,1.11782,0.00087625,0.00087625,0.00087625
12,2622.89,0.78954,4.5877,0.17091,0.51886,1.07411,0.91894,0.89138,0.94266,0.71256,0.57827,0.52285,0.40367,0.11955,0.86894,4.43592,0.0742,0.56818,1.12585,0.000863875,0.000863875,0.000863875
13,2838.65,0.7878,4.40476,0.1513,0.50157,1.07141,0.94652,0.90705,0.94675,0.72975,0.63665,0.55775,0.43669,0.12549,0.84284,4.2949,0.0645,0.53109,1.09566,0.0008515,0.0008515,0.0008515
14,3054.64,0.77884,4.46543,0.16543,0.49767,1.06418,0.93359,0.90806,0.94846,0.71749,0.5751,0.52489,0.38801,0.11106,0.8723,4.42137,0.06625,0.51999,1.12045,0.000839125,0.000839125,0.000839125
15,3270.64,0.77393,4.31273,0.15088,0.49085,1.06591,0.94593,0.90555,0.95106,0.72934,0.61036,0.56787,0.42151,0.11837,0.84195,4.32421,0.06796,0.51598,1.09556,0.00082675,0.00082675,0.00082675
16,3486.9,0.7555,4.28238,0.14018,0.48007,1.05224,0.93268,0.90754,0.94906,0.73576,0.63257,0.5887,0.49109,0.1444,0.81293,4.14828,0.0636,0.50331,1.07637,0.000814375,0.000814375,0.000814375
17,3702.66,0.74581,4.14612,0.1256,0.47524,1.04583,0.95166,0.89728,0.9572,0.74191,0.65466,0.59488,0.49787,0.15417,0.81228,4.0465,0.05659,0.50725,1.06436,0.000802,0.000802,0.000802
18,3918.86,0.7416,4.17683,0.12494,0.46241,1.04274,0.94253,0.91503,0.95368,0.74381,0.67637,0.59284,0.49646,0.15312,0.80462,4.02245,0.05684,0.48826,1.06538,0.000789625,0.000789625,0.000789625
19,4135.38,0.72558,4.04314,0.11274,0.45501,1.0349,0.94769,0.90352,0.95351,0.75042,0.66224,0.60965,0.51627,0.15777,0.79386,4.01787,0.05136,0.49571,1.0568,0.00077725,0.00077725,0.00077725
20,4352.04,0.71624,3.97374,0.10876,0.44312,1.0298,0.94464,0.91546,0.95758,0.74711,0.69129,0.63857,0.53198,0.16536,0.80381,3.93987,0.05035,0.48129,1.06764,0.000764875,0.000764875,0.000764875
21,4568.22,0.70893,3.94231,0.10722,0.44295,1.02845,0.95191,0.90205,0.95626,0.74916,0.68665,0.62681,0.53327,0.1696,0.78484,3.94628,0.04692,0.4772,1.05405,0.0007525,0.0007525,0.0007525
22,4784.23,0.69691,3.83299,0.1008,0.42411,1.01687,0.94305,0.92541,0.95722,0.74931,0.70159,0.63763,0.55532,0.16604,0.77851,3.88644,0.04746,0.4577,1.05258,0.000740125,0.000740125,0.000740125
23,5000.15,0.69707,3.78941,0.10745,0.42274,1.00954,0.95185,0.91241,0.96004,0.75588,0.69743,0.648,0.55276,0.17022,0.77746,3.80712,0.04558,0.46137,1.04462,0.00072775,0.00072775,0.00072775
24,5216.22,0.69801,3.83528,0.10314,0.42945,1.01902,0.94636,0.90682,0.95689,0.74663,0.6984,0.63875,0.55211,0.17404,0.77418,3.81496,0.04617,0.45982,1.04292,0.000715375,0.000715375,0.000715375
25,5432.36,0.68922,3.68796,0.09722,0.41116,1.0122,0.94273,0.90985,0.95904,0.747,0.72178,0.67736,0.58187,0.17987,0.76955,3.75438,0.04239,0.47318,1.04389,0.000703,0.000703,0.000703
26,5648.42,0.67544,3.65634,0.09756,0.41094,1.00031,0.94313,0.91855,0.95518,0.75487,0.73592,0.68164,0.58494,0.1884,0.76492,3.70466,0.04113,0.4466,1.04127,0.000690625,0.000690625,0.000690625
27,5864.48,0.67054,3.61574,0.09046,0.40915,0.99864,0.96292,0.90484,0.95796,0.75666,0.75865,0.70082,0.63411,0.19593,0.76437,3.63807,0.04479,0.44838,1.03434,0.00067825,0.00067825,0.00067825
28,6080.62,0.66281,3.52741,0.08489,0.39724,0.9953,0.94078,0.91799,0.96108,0.75318,0.73373,0.6789,0.60605,0.19874,0.7676,3.65237,0.04103,0.45061,1.0456,0.000665875,0.000665875,0.000665875
29,6296.55,0.65698,3.5073,0.08789,0.39892,0.99135,0.95586,0.90276,0.96059,0.7617,0.73798,0.68494,0.61142,0.20712,0.75179,3.60836,0.03961,0.45091,1.03068,0.0006535,0.0006535,0.0006535
30,6512.72,0.65801,3.50739,0.09179,0.4017,0.99542,0.94453,0.92598,0.96267,0.76292,0.75359,0.69152,0.62814,0.20476,0.7603,3.59311,0.04278,0.44735,1.02989,0.000641125,0.000641125,0.000641125
31,6728.67,0.65496,3.45138,0.09382,0.39069,0.99569,0.9468,0.91823,0.95695,0.75423,0.75728,0.7076,0.64759,0.21993,0.76684,3.5744,0.04015,0.45371,1.04029,0.00062875,0.00062875,0.00062875
32,6945.11,0.65077,3.38365,0.08887,0.39332,0.99167,0.95222,0.91213,0.95982,0.75993,0.73382,0.68743,0.61669,0.20522,0.75762,3.53841,0.03943,0.4415,1.03379,0.000616375,0.000616375,0.000616375
33,7161.68,0.63986,3.38932,0.08762,0.37683,0.98668,0.95509,0.92116,0.96509,0.76629,0.79157,0.72644,0.66364,0.22548,0.74365,3.43876,0.03918,0.43149,1.02741,0.000604,0.000604,0.000604
34,7378.43,0.63627,3.28041,0.08908,0.37752,0.98553,0.95374,0.91444,0.96231,0.76112,0.77796,0.71714,0.6551,0.22453,0.74879,3.44916,0.03759,0.43624,1.0344,0.000591625,0.000591625,0.000591625
35,7594.8,0.63749,3.27793,0.08151,0.37291,0.98471,0.94982,0.89897,0.95859,0.76357,0.77664,0.70967,0.64535,0.224,0.74414,3.43248,0.03862,0.44516,1.03149,0.00057925,0.00057925,0.00057925
36,7811.06,0.63279,3.28535,0.0891,0.3709,0.97809,0.95625,0.92044,0.96414,0.76597,0.78995,0.72861,0.67111,0.23512,0.73231,3.38438,0.03912,0.41947,1.02489,0.000566875,0.000566875,0.000566875
37,8027.5,0.62143,3.1839,0.08055,0.36714,0.97438,0.94931,0.91561,0.9643,0.77394,0.78079,0.72666,0.66416,0.23011,0.73602,3.35643,0.0397,0.43116,1.01733,0.0005545,0.0005545,0.0005545
38,8244.5,0.62064,3.15786,0.08165,0.36154,0.97565,0.94247,0.91462,0.96176,0.76281,0.78636,0.7156,0.65956,0.22934,0.73921,3.36228,0.03455,0.42707,1.02244,0.000542125,0.000542125,0.000542125
39,8460.87,0.61211,3.1413,0.08418,0.36017,0.97081,0.95619,0.92058,0.96314,0.77607,0.79767,0.7412,0.67898,0.23858,0.73296,3.3192,0.03777,0.42931,1.02232,0.00052975,0.00052975,0.00052975
40,8677.24,0.61916,3.12868,0.08448,0.36292,0.97568,0.95414,0.91643,0.95969,0.76614,0.79357,0.74011,0.67366,0.23544,0.74517,3.32759,0.03956,0.44019,1.02601,0.000517375,0.000517375,0.000517375
41,8893.82,0.61755,3.11515,0.08706,0.36547,0.9731,0.95988,0.91123,0.96612,0.76873,0.81251,0.74193,0.69721,0.24645,0.73335,3.29566,0.03885,0.42867,1.01735,0.000505,0.000505,0.000505
42,9110.48,0.60755,3.08604,0.08215,0.35885,0.96961,0.96274,0.93211,0.97139,0.78149,0.80944,0.75427,0.69981,0.25452,0.71309,3.24454,0.03499,0.39704,1.0039,0.000492625,0.000492625,0.000492625
